Date,Price,Open,High,Low,Vol.,Change %,CPI_Combined,Inflation_Rate,Gold_Returns,Rolling_Corr_12m,Rolling_Corr_24m,Rolling_Beta_12m
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,123.3,0.8176614881439059,0.0,-0.6473470847397534,-0.18580259040835673,-0.7091163533054482
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,124.1,0.6488240064882467,0.0,-0.647359488991499,-0.18580798841814486,-0.7090985886375463
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,124.3,0.16116035455278066,0.0,-0.7992270956478569,-0.18556247684883642,-1.0232152030969819
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,125.1,0.6436041834271933,0.0,-0.9031149093578617,-0.18755262744493148,-1.1774516884615482
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,125.5,0.3197442046362964,0.0,-0.9390116117749165,-0.34940900084259735,-1.2568699894891457
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,124.9,-0.47808764940238113,0.0,-0.9505535232740516,-0.3469238281250379,-1.283849994987302
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,118.3,-5.284227381905526,-5.167292057535966,-0.23455869419379233,-0.15634146547483252,-0.32199931361212814
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,118.4,0.08453085376163294,0.0,0.961301603561564,-0.24615841272343933,0.8261233591153252
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,118.7,0.2533783783783772,0.0,0.961301603561564,-0.24745995103763765,0.8261233591153252
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,125.5,5.728727885425444,-2.4647597065369564,0.3928878993289613,-0.3175780907391589,0.261079189278844
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,124.9,-0.47808764940238113,0.0,0.3704427332907195,-0.31749321854219686,0.24531922746716311
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,124.1,-0.6405124099279513,2.5270453008789717,0.2551613011669703,-0.3222241799517107,0.19544232008864978
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,125.1,0.8058017727639033,-3.4045008655510633,0.18976116465727347,-0.3264883284928998,0.15983233071790445
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,124.1,-0.7993605115907298,1.5360983102918668,0.13937562892322214,-0.3320082295483131,0.12250509901016088
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,124.3,0.16116035455278066,0.0,0.13937562892322214,-0.36094906390867865,0.12250509901016099
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,125.1,0.6436041834271933,0.0,0.13937562892322214,-0.41730640105978045,0.12250509901016077
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,125.5,0.3197442046362964,0.0,0.13937562892322214,-0.4208716093048227,0.12250509901016071
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,118.3,-5.737051792828685,-1.5128593040847238,0.18737891996054806,-0.31267335364118065,0.1357211325766114
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,118.4,0.08453085376163294,0.0,-0.25057802691186537,-0.23464424290372038,-0.15985482971655954
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,123.3,4.138513513513509,1.5360983102918668,-0.07892466844445731,0.29609533272804806,-0.04786485570389336
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,118.7,-3.7307380373073795,-1.5128593040847238,0.019512090186047243,0.32803477350289567,0.011156684421430793
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,120.6,1.60067396798651,0.0,0.3451992238416284,0.32929092654515935,0.21854828966443107
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,122.3,1.4096185737976885,0.0,0.34174830882302437,0.3299559204385252,0.2123300970454535
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,123.3,0.8176614881439059,0.0,0.4418506882689464,0.32907955725282345,0.23418902054947116
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,124.1,0.6488240064882467,0.0,0.7584597990250601,0.3286783282850007,0.2748947978131614
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,124.3,0.16116035455278066,0.0,0.953170660199947,0.32714079970626764,0.29571555724670684
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,118.3,-4.827031375703939,0.9045912271718803,0.6044230322537885,0.23643243262579242,0.17537274990404148
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,119.5,1.0143702451394843,-0.8964817320703755,0.5347763940859761,0.22573358893110787,0.16078415934162468
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,122.3,2.343096234309616,1.5360983102918668,0.5780465997606752,0.259606102241677,0.1918777206480362
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,124.9,2.1259198691741643,0.0,0.3989925168354105,0.26354600085639257,0.14016894515295047
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,119.5,-4.32345876701361,0.0,0.36925822255935875,-0.0074906974958723165,0.11324166067076649
2015-01-01,1182.4,"1,183.20","1,224.50","1,174.10",2.87M,-0.07%,118.4,-0.9205020920502016,-0.6219532694570429,0.19907121190033863,-0.000702344797009935,0.060260718570196485
2015-01-01,1189.8,"1,183.70","1,232.00","1,168.40",2.95M,0.63%,120.6,1.858108108108092,0.6258457374830773,-0.011085225977306656,0.015357510494912291,-0.0029897653999326045
